"","Year","Region","Alignment","Votes","Total_Votes","Percent_votes"
"1",1994,"Netherlands","Centre",3383721,7907157,0.427931429716142
"2",1994,"Netherlands","Centre-Left",2151589,7907157,0.272106523242172
"3",1994,"Netherlands","Centre-Right",1787293,7907157,0.226034844129186
"4",1994,"Netherlands","Left-Wing",429361,7907157,0.0543003003481529
"5",1994,"Netherlands","Right-Wing",155193,7907157,0.0196269025643477
"6",1998,"Netherlands","Centre",2354550,8057330,0.292224595492551
"7",1998,"Netherlands","Centre-Left",2494555,8057330,0.309600698990857
"8",1998,"Netherlands","Centre-Right",2124971,8057330,0.263731409784631
"9",1998,"Netherlands","Left-Wing",929671,8057330,0.115382018609142
"10",1998,"Netherlands","Right-Wing",153583,8057330,0.0190612771228186
"11",2002,"Netherlands","Centre",3378993,7666439,0.440751305788776
"12",2002,"Netherlands","Centre-Left",1436023,7666439,0.187312910205116
"13",2002,"Netherlands","Centre-Right",1466722,7666439,0.191317246507798
"14",2002,"Netherlands","Left-Wing",1221139,7666439,0.159283730034244
"15",2002,"Netherlands","Right-Wing",163562,7666439,0.0213348074640651
"16",2003,"Netherlands","Centre",3361507,9025151,0.372459917845142
"17",2003,"Netherlands","Centre-Left",2631363,9025151,0.291558889153212
"18",2003,"Netherlands","Centre-Right",1728697,9025151,0.191542169211352
"19",2003,"Netherlands","Left-Wing",1153279,9025151,0.127785008804839
"20",2003,"Netherlands","Right-Wing",150305,9025151,0.0166540149854556
"21",2006,"Netherlands","Centre",3192774,9717764,0.328550271441043
"22",2006,"Netherlands","Centre-Left",2085077,9717764,0.214563453074185
"23",2006,"Netherlands","Centre-Right",1443312,9717764,0.148523055303669
"24",2006,"Netherlands","Left-Wing",2263845,9717764,0.232959454458865
"25",2006,"Netherlands","Right-Wing",732756,9717764,0.0754037657222382
"26",2010,"Netherlands","Centre",2241147,9312710,0.240654653693715
"27",2010,"Netherlands","Centre-Left",1848805,9312710,0.198524919169608
"28",2010,"Netherlands","Centre-Right",1929575,9312710,0.207198012179054
"29",2010,"Netherlands","Left-Wing",1675109,9312710,0.179873420304079
"30",2010,"Netherlands","Right-Wing",1618074,9312710,0.173748994653543
"31",2012,"Netherlands","Centre",2030928,9335580,0.217547061885817
"32",2012,"Netherlands","Centre-Left",2340750,9335580,0.250734287532215
"33",2012,"Netherlands","Centre-Right",2504948,9335580,0.268322696608031
"34",2012,"Netherlands","Left-Wing",1311911,9335580,0.140528065744174
"35",2012,"Netherlands","Right-Wing",1147043,9335580,0.122867888229762
