"","Year","Region","Party","Votes","Total_Votes","Percent_votes"
"1",1994,"Netherlands","50PLUS",0,7907157,0
"2",1994,"Netherlands","CDA",1994479,7907157,0.252237182087064
"3",1994,"Netherlands","CU",0,7907157,0
"4",1994,"Netherlands","D66",1389242,7907157,0.175694247629078
"5",1994,"Netherlands","GL",310629,7907157,0.0392845367810453
"6",1994,"Netherlands","PvdA",2151589,7907157,0.272106523242172
"7",1994,"Netherlands","PvdD",0,7907157,0
"8",1994,"Netherlands","PVV",0,7907157,0
"9",1994,"Netherlands","SGP",155193,7907157,0.0196269025643477
"10",1994,"Netherlands","SP",118732,7907157,0.0150157635671076
"11",1994,"Netherlands","VVD",1787293,7907157,0.226034844129186
"12",1998,"Netherlands","50PLUS",0,8057330,0
"13",1998,"Netherlands","CDA",1581053,8057330,0.196225424551309
"14",1998,"Netherlands","CU",0,8057330,0
"15",1998,"Netherlands","D66",773497,8057330,0.0959991709412423
"16",1998,"Netherlands","GL",625968,8057330,0.0776892593452173
"17",1998,"Netherlands","PvdA",2494555,8057330,0.309600698990857
"18",1998,"Netherlands","PvdD",0,8057330,0
"19",1998,"Netherlands","PVV",0,8057330,0
"20",1998,"Netherlands","SGP",153583,8057330,0.0190612771228186
"21",1998,"Netherlands","SP",303703,8057330,0.0376927592639249
"22",1998,"Netherlands","VVD",2124971,8057330,0.263731409784631
"23",2002,"Netherlands","50PLUS",0,7666439,0
"24",2002,"Netherlands","CDA",2653723,7666439,0.346148061701137
"25",2002,"Netherlands","CU",240953,7666439,0.0314295854959519
"26",2002,"Netherlands","D66",484317,7666439,0.0631736585916877
"27",2002,"Netherlands","GL",660692,7666439,0.0861797765559734
"28",2002,"Netherlands","PvdA",1436023,7666439,0.187312910205116
"29",2002,"Netherlands","PvdD",0,7666439,0
"30",2002,"Netherlands","PVV",0,7666439,0
"31",2002,"Netherlands","SGP",163562,7666439,0.0213348074640651
"32",2002,"Netherlands","SP",560447,7666439,0.0731039534782707
"33",2002,"Netherlands","VVD",1466722,7666439,0.191317246507798
"34",2003,"Netherlands","50PLUS",0,9025151,0
"35",2003,"Netherlands","CDA",2763480,9025151,0.306197646997818
"36",2003,"Netherlands","CU",204694,9025151,0.0226803961507126
"37",2003,"Netherlands","D66",393333,9025151,0.0435818746966117
"38",2003,"Netherlands","GL",495802,9025151,0.0549355905513381
"39",2003,"Netherlands","PvdA",2631363,9025151,0.291558889153212
"40",2003,"Netherlands","PvdD",47754,9025151,0.00529121341016898
"41",2003,"Netherlands","PVV",0,9025151,0
"42",2003,"Netherlands","SGP",150305,9025151,0.0166540149854556
"43",2003,"Netherlands","SP",609723,9025151,0.0675582048433317
"44",2003,"Netherlands","VVD",1728697,9025151,0.191542169211352
"45",2006,"Netherlands","50PLUS",0,9717764,0
"46",2006,"Netherlands","CDA",2608573,9717764,0.268433458561043
"47",2006,"Netherlands","CU",390969,9717764,0.0402324032565516
"48",2006,"Netherlands","D66",193232,9717764,0.0198844096234484
"49",2006,"Netherlands","GL",453054,9717764,0.0466212186260131
"50",2006,"Netherlands","PvdA",2085077,9717764,0.214563453074185
"51",2006,"Netherlands","PvdD",179988,9717764,0.0185215446680944
"52",2006,"Netherlands","PVV",579490,9717764,0.0596320305782277
"53",2006,"Netherlands","SGP",153266,9717764,0.0157717351440105
"54",2006,"Netherlands","SP",1630803,9717764,0.167816691164758
"55",2006,"Netherlands","VVD",1443312,9717764,0.148523055303669
"56",2010,"Netherlands","50PLUS",0,9312710,0
"57",2010,"Netherlands","CDA",1281886,9312710,0.13764908388643
"58",2010,"Netherlands","CU",305094,9312710,0.0327610330397919
"59",2010,"Netherlands","D66",654167,9312710,0.070244536767493
"60",2010,"Netherlands","GL",628096,9312710,0.0674450294275243
"61",2010,"Netherlands","PvdA",1848805,9312710,0.198524919169608
"62",2010,"Netherlands","PvdD",122317,9312710,0.0131344152239252
"63",2010,"Netherlands","PVV",1454493,9312710,0.156183645791612
"64",2010,"Netherlands","SGP",163581,9312710,0.0175653488619317
"65",2010,"Netherlands","SP",924696,9312710,0.0992939756526296
"66",2010,"Netherlands","VVD",1929575,9312710,0.207198012179054
"67",2012,"Netherlands","50PLUS",177631,9335580,0.0190273127111545
"68",2012,"Netherlands","CDA",801620,9335580,0.0858671876841075
"69",2012,"Netherlands","CU",294586,9335580,0.0315551899292813
"70",2012,"Netherlands","D66",757091,9335580,0.0810973715612742
"71",2012,"Netherlands","GL",219896,9335580,0.0235546157817725
"72",2012,"Netherlands","PvdA",2340750,9335580,0.250734287532215
"73",2012,"Netherlands","PvdD",182162,9335580,0.0195126601668027
"74",2012,"Netherlands","PVV",950263,9335580,0.101789390696668
"75",2012,"Netherlands","SGP",196780,9335580,0.0210784975330938
"76",2012,"Netherlands","SP",909853,9335580,0.0974607897955992
"77",2012,"Netherlands","VVD",2504948,9335580,0.268322696608031
